[2026-06-06T16:54:06.671Z] GET https://www.mkm.ee/en → pending (?ms, ?B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/photo-gallery/js/tocca.min.js?ver=2.0.9 → pending (?ms, ?B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/photo-gallery/js/jquery.mCustomScrollbar.concat.min.js?ver=3.1.5 → pending (?ms, ?B)
[2026-06-06T17:23:36.362Z] GET https://www.subtel.gob.cl/wp-content/plugins/photo-gallery/js/jquery.fullscreen.min.js?ver=0.6.0 → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/plugins/photo-gallery/js/scripts.min.js?ver=1.8.41 → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/plugins/stop-user-enumeration/frontend/js/frontend.js?ver=1.5.0 → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/plugins/subtel-slider/public/js/slick.min.js?ver=1.0.0 → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/plugins/subtel-slider/public/js/subtel-slider-public.js?ver=1.0.0 → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://f1-na.readspeaker.com/script/9622/ReadSpeaker.js?pids=embhl,dr → 200 (505ms, 4237B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/themes/gobcl-wp-master/img/png/header/inicio.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2017/04/logo_subtel_reducido.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2026/06/actualizacion_prefijos_vf.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2025/08/banner-rnc-2.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/024_ingreso-reclamos.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2025/08/estudio-cable-antartico.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2024/07/banners-icsp.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2023/10/035_plan_brecha_cero.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/018_termino-contrato.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/022_concursos-radiodifusion.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2026/05/convocatoria-registro-empresa-2026.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/015_ingreso-virtual-op.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2025/08/021_concursos-fdt.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/013_registro-rpi.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/011_denuncias.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2023/01/banners-sae.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2022/12/banner-robo-dispositivos.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2025/10/038_plan-mantencion-gestion-redes.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/003_derechos-usuarios.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/001_ranking-reclamos.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/000_listado-tramites.png → pending (?ms, ?B)
[2026-06-06T17:23:36.363Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/11/sitios-web-subtel.png → pending (?ms, ?B)
[2026-06-06T17:23:36.364Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/01_multibanda.png → pending (?ms, ?B)
[2026-06-06T17:23:36.364Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/006_calculadora.png → pending (?ms, ?B)
[2026-06-06T17:23:36.364Z] GET https://www.subtel.gob.cl/wp-content/uploads/2024/08/banner-publicacion-extracto-derechos-oposicion.png → pending (?ms, ?B)
[2026-06-06T17:23:36.364Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/03_solicitud-radioaficionados.png → pending (?ms, ?B)
[2026-06-06T17:23:36.364Z] GET https://www.subtel.gob.cl/wp-content/uploads/2022/12/019_me-quiero-salir.png → pending (?ms, ?B)
[2026-06-06T17:23:36.364Z] GET https://www.subtel.gob.cl/wp-content/uploads/2025/07/023_visor-cobertura.png → pending (?ms, ?B)
[2026-06-06T17:23:36.364Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/ley-transparencia-0821.png → pending (?ms, ?B)
[2026-06-06T17:23:36.365Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/transparencia-historico-0821.png → pending (?ms, ?B)
[2026-06-06T17:23:36.365Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/solicitud-informacion-0821.png → pending (?ms, ?B)
[2026-06-06T17:23:36.365Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/ley-lobby-0821.png → pending (?ms, ?B)
[2026-06-06T17:23:36.365Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/compromisos-gestion-0821.png → pending (?ms, ?B)
[2026-06-06T17:23:36.365Z] GET https://www.subtel.gob.cl/wp-content/uploads/2021/09/codigo-etica-0821.png → pending (?ms, ?B)
[2026-06-06T17:23:36.365Z] GET https://www.subtel.gob.cl/wp-content/uploads/2024/11/chile-avanzando.png → pending (?ms, ?B)
[2026-06-06T17:23:36.365Z] GET https://www.subtel.gob.cl/wp-content/uploads/2024/11/banner-participacion-ciudadana.png → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/uploads/2024/11/Ley-de-presupuesto.png → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/uploads/2025/01/VUS-1000x209px.png → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/uploads/2024/08/banner-conectividad-educacion-mineduc.png → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/uploads/2024/11/banner-estudio-exterior-bd0.png → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/uploads/2016/03/direccion_footer_v2.png → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/plugins/image-hover-effects-ultimate/assets/frontend/css/animation.css?ver=9.9.7 → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/plugins/image-hover-effects-ultimate/assets/frontend/css/style.css?ver=9.9.7 → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/plugins/image-hover-effects-ultimate/Modules/General/Files/general.css?ver=9.9.7 → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/plugins/image-hover-effects-ultimate/Modules/General/Files/style-1.css?ver=9.9.7 → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://fonts.googleapis.com/css?family=Open+Sans&ver=6.0.11 → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/plugins/easy-accordion-free/Blocks/assets/js/sp-eap-accordion.js?ver=3.1.2 → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/plugins/easy-accordion-free/Blocks/assets/js/script.js?ver=3.1.2 → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/plugins/image-hover-effects-ultimate/assets/frontend/js/waypoints.min.js?ver=9.9.7 → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/plugins/image-hover-effects-ultimate/assets/frontend/js/touch.js?ver=9.9.7 → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/plugins/image-hover-effects-ultimate/assets/frontend/js/jquery.js?ver=9.9.7 → pending (?ms, ?B)
[2026-06-06T17:23:36.366Z] GET https://www.subtel.gob.cl/wp-content/themes/gobcl-wp-master/js/main.js → pending (?ms, ?B)
[2026-06-06T17:23:36.502Z] GET https://www.subtel.gob.cl/wp-includes/js/wp-emoji-release.min.js?ver=6.0.11 → pending (?ms, ?B)
[2026-06-06T17:23:40.011Z] GET https://f1-na.readspeaker.com/script/9622/ReadSpeaker.Styles.css?v=2.5.16.6672 → 200 (149ms, 4438B)
[2026-06-06T17:23:40.011Z] GET https://f1-na.readspeaker.com/script/9622/ReadSpeaker.Core.js?v=2.5.16.6672 → 200 (184ms, 9839B)
[2026-06-06T17:23:40.011Z] GET https://f1-na.readspeaker.com/script/9622/ReadSpeaker.pub.Config.js?v=2.5.16.6672 → 200 (219ms, 5102B)
[2026-06-06T17:23:40.011Z] GET https://connect.facebook.net/es_LA/sdk.js → 200 (48ms, 7117B)
[2026-06-06T17:23:40.011Z] GET https://platform.twitter.com/widgets.js → 200 (48ms, 28119B)
[2026-06-06T17:23:40.025Z] GET https://www.subtel.gob.cl/wp-content/uploads/2025/01/cropped-pexels-korfotografci-4249270-scaled-1.jpg → pending (?ms, ?B)
[2026-06-06T17:23:40.025Z] GET https://www.subtel.gob.cl/wp-content/themes/gobcl-wp-master/fonts/gobcl_regular.woff → pending (?ms, ?B)
[2026-06-06T17:23:40.025Z] GET https://www.subtel.gob.cl/wp-content/themes/gobcl-wp-master/img/png/buscar-bg.png → pending (?ms, ?B)
[2026-06-06T17:23:40.025Z] GET https://www.subtel.gob.cl/wp-content/themes/gobcl-wp-master/img/png/footer/redes_sociales/40/facebook_pl.png → pending (?ms, ?B)
[2026-06-06T17:23:40.025Z] GET https://www.subtel.gob.cl/wp-content/themes/gobcl-wp-master/img/png/footer/redes_sociales/40/twitter_pl.png → pending (?ms, ?B)
[2026-06-06T17:23:40.025Z] GET https://www.subtel.gob.cl/wp-content/themes/gobcl-wp-master/img/png/footer/redes_sociales/40/youtube_pl.png → pending (?ms, ?B)
[2026-06-06T17:23:40.025Z] GET https://www.subtel.gob.cl/wp-content/themes/gobcl-wp-master/img/png/footer/redes_sociales/40/instagram_pl.png → pending (?ms, ?B)
[2026-06-06T17:23:40.025Z] GET https://fonts.gstatic.com/s/opensans/v44/memvYaGs126MiZpBA-UvWbX2vVnXBbObj2OVTS-mu0SC55I.woff2 → 200 (53ms, 43515B)
[2026-06-06T17:23:40.025Z] GET https://www.subtel.gob.cl/wp-content/themes/gobcl-wp-master/fonts/gobcl_bold.woff → pending (?ms, ?B)
[2026-06-06T17:23:40.025Z] GET https://www.subtel.gob.cl/wp-content/uploads/2026/06/BANNERsitioSubtel_1000x250-1536x385.png → pending (?ms, ?B)
[2026-06-06T17:23:40.025Z] GET https://www.subtel.gob.cl/wp-content/uploads/2026/06/BannerPortabilidadNumerica_1000x250-1536x385.png → pending (?ms, ?B)
[2026-06-06T17:23:40.025Z] GET https://www.subtel.gob.cl/wp-content/uploads/2026/05/banner-sitio-web-5.png → pending (?ms, ?B)
[2026-06-06T17:23:40.025Z] GET https://www.subtel.gob.cl/wp-content/uploads/2026/05/banner-sitio-web-4.png → pending (?ms, ?B)
[2026-06-06T17:23:40.025Z] GET https://www.subtel.gob.cl/wp-content/uploads/2026/05/banner-sitio-web-3.png → pending (?ms, ?B)
[2026-06-06T17:23:40.063Z] GET https://connect.facebook.net/es_LA/bundle/sdk.js/ → 200 (39ms, 80471B)
[2026-06-06T17:23:40.192Z] GET https://fonts.gstatic.com/s/opensans/v44/memSYaGs126MiZpBA-UvWbX2vVnXBbObj2OVZyOOSr4dVJWUgsjZ0B4gaVIUwaEQbjA.woff2 → 200 (26ms, 13570B)
[2026-06-06T17:23:40.202Z] GET https://www.google-analytics.com/analytics.js → 200 (64ms, 20829B)
[2026-06-06T17:23:40.219Z] GET https://platform.twitter.com/widgets/widget_iframe.1227a5674072e080ffb1ba14ac0c1079.html?origin=https%3A%2F%2Fwww.subtel.gob.cl → 200 (12ms, 105654B)
[2026-06-06T17:23:40.257Z] GET https://f1-na.readspeaker.com/script/9622/ReadSpeaker.lib.Facade.adapter.jquery.js?v=2.5.16.6672 → 200 (145ms, 1802B)
[2026-06-06T17:23:40.276Z] GET https://syndication.twitter.com/settings?session_id=e14415385d5327698b0c5e004d990f58876e656f → 200 (217ms, 964B)
[2026-06-06T17:23:40.289Z] POST https://www.google-analytics.com/j/collect?v=1&_v=j102&a=2133562285&t=pageview&_s=1&dl=https%3A%2F%2Fwww.subtel.gob.cl%2F&ul=en-us&dt=Subsecretar%C3%ADa%20de%20Telecomunicaciones%20de%20Chile%20-%20SUBTEL&sr=1280x720&vp=1280x720&_u=IEBAAEABAAAAACAAI~&jid=1124077089&gjid=2045739163&cid=13738595.1780766620&tid=UA-62079566-1&_gid=620001669.1780766620&_r=1&_slc=1&z=2006503129 → 200 (18ms, 38B)
[2026-06-06T17:23:40.307Z] GET https://www.googletagmanager.com/gtag/js?id=G-ES8K7D7P38&cx=c&_slc=1 → 200 (70ms, 153353B)
[2026-06-06T17:23:40.390Z] POST https://analytics.google.com/g/collect?v=2&tid=G-ES8K7D7P38&gtm=45je6631v9119793744za20g&_p=1780766620306&_gaz=1&gcd=13l3l3l3l2l1&npa=0&dma=0&_eu=EBAIAGA&are=1&cid=13738595.1780766620&frm=0&ir=1&pscdl=noapi&rcb=7&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.5.1&uaw=0&ul=en-us&gaf=2&_s=1&tag_exp=0~115938465~115938469~118228215~119027222&dl=https%3A%2F%2Fwww.subtel.gob.cl%2F&dt=Subsecretar%C3%ADa%20de%20Telecomunicaciones%20de%20Chile%20-%20SUBTEL&sid=1780766620&sct=1&seg=0&_tu=wAQ&en=page_view&_fv=2&_ss=2&_c=1&_ee=1&tfd=4520 → 204 (46ms, ?B)
[2026-06-06T17:23:40.390Z] POST https://stats.g.doubleclick.net/g/collect?v=2&tid=G-ES8K7D7P38&cid=13738595.1780766620&gtm=45je6631v9119793744za20g&rcb=7&aip=1&dma=0&gcd=13l3l3l3l2l1&npa=0&frm=0&tag_exp=0~115938465~115938469~118228215~119027222 → 204 (44ms, 20B)
[2026-06-06T17:23:40.390Z] GET https://www.google.cl/ads/ga-audiences?v=1&t=sr&slf_rd=1&_r=4&tid=G-ES8K7D7P38&cid=13738595.1780766620&gtm=45je6631v9119793744za20g&rcb=7&aip=1&dma=0&gcd=13l3l3l3l2l1&npa=0&frm=0&tag_exp=0~115938465~115938469~118228215~119027222&z=1569848303 → 200 (52ms, 408B)
[2026-06-06T17:23:40.402Z] GET https://f1-na.readspeaker.com/script/9622/ReadSpeaker.Base.js?v=2.5.16.6672 → 200 (271ms, 39109B)
[2026-06-06T17:23:40.402Z] GET https://f1-na.readspeaker.com/script/9622/ReadSpeaker.DocReader.AutoAdd.js?v=2.5.16.6672 → 200 (280ms, 1713B)
[2026-06-06T17:23:40.686Z] GET https://media.readspeaker.com/images/buttons/listen_icons/icon_16px.gif → pending (?ms, ?B)
[2026-06-06T17:23:41.564Z] GET https://media.readspeaker.com/buttons/images/listen_icons/icon_16px.gif → 200 (304ms, 166B)
